# =============================================================================
# mybash-tools / data/nerd-fonts.txt
# Версия: 1.0
# Назначение: База данных иконок Nerd Fonts для использования в PS1 и других целях.
# Формат: U+XXXX;имя_иконки;тег1 тег2 тег3...
# Примечание: Теги пишутся через пробел, без спецсимволов. Используются для поиска.
# Авторство: Lincooln с активным участием Qwen3-Max
# Репозиторий: https://github.com/lincooln/mybash-tools
# Комментарии: Добавляйте новые иконки по аналогии. Иконки проверены на совместимость с Nerd Fonts.
# =============================================================================

# --- Система и навигация ---
U+F015;home;дом главная старт
U+F007;user;пользователь юзер профиль
U+F023;lock;блокировка пароль закрыто
U+F09C;unlock;разблокировка открыто
U+F013;gear;шестерёнка настройки конфигурация
U+F0AD;wrench;гаечный ключ инструменты
U+F085;bars;меню бургер навигация
U+F0C9;navicon;меню навигация

# --- Файловая система ---
U+F07B;folder;папка директория каталог
U+F115;file;файл документ
U+F15B;file-text;текстовый файл
U+F1C9;file-code;код скрипт программирование
U+F022;file-archive;архив zip tar
U+F016;file-alt;файл резервный

# --- Git и версии ---
U+F09B;git;гит репозиторий версия
U+F04B;git-branch;ветка бранч
U+F04C;git-commit;коммит сохранение
U+F04D;git-pull;пулл обновление
U+F04E;git-push;пуш отправка
U+F00C;check;галочка ок готово успех
U+F00D;times;крестик ошибка закрыть провал

# --- Терминал и выполнение ---
U+F126;terminal;терминал консоль shell
U+F120;console;консоль терминал
U+F489;script;скрипт bash shell
U+F04B;code;код программирование
U+F121;code-branch;код ветка
U+F0E7;cogs;процесс выполнение скрипт

# --- Сеть и self-hosting ---
U+F0C1;cloud;облако сервер
U+F0EC;cloud-download;загрузка из облака
U+F0ED;cloud-upload;загрузка в облако
U+F090;server;сервер хостинг
U+F233;database;база данных sql
U+F072;sitemap;сеть карта маршрутизация
U+F017;clock;время часы синхронизация
U+F021;sync;синхронизация обновить перезагрузка

# --- Действия ---
U+F461;download;загрузка скачать
U+F0A9;upload;отправка загрузить выгрузить
U+F0E0;envelope;почта сообщение уведомление
U+F0C7;save;сохранить дискета
U+F003;comment;комментарий заметка
U+F087;thumbs-up;лайк хорошо отлично
U+F088;thumbs-down;дизлайк плохо

# --- Статусы ---
U+F058;exclamation-circle;внимание предупреждение
U+F057;question-circle;вопрос помощь
U+F059;info-circle;информация справка
U+F06A;exclamation-triangle;ошибка критично
U+F11E;bug;баг ошибка отладка

# --- Стрелки и навигация ---
U+F105;caret-right;стрелка вправо направо
U+F104;caret-left;стрелка влево
U+F107;caret-down;стрелка вниз
U+F106;caret-up;стрелка вверх
U+F054;arrow-right;стрелка право
U+F053;arrow-left;стрелка лево

# --- Прочее ---
U+F011;rocket;запуск старт ракета
U+F005;star;звезда избранное
U+F006;star-o;звезда неактивная
U+F009;book;документация книга
U+F02D;book-open;открытая книга справка
U+F07C;list;список меню
U+F00A;th-list;список таблица
